"delcol.name","delcol.freq","base.wordfreq"
"better","158","530"
"hey","159","530"
"light","160","520"
"wait","161","519"
"start","162","518"
"es","163","517"
"stop","164","515"
"fall","165","514"
"chang","166","512"
"hold","167","504"
"home","168","502"
"gone","169","501"
"these","170","500"
"off","171","495"
"leav","172","493"
"than","173","490"
"befor","174","489"
"end","175","466"
"into","176","458"
"him","177","457"
"god","178","451"
"ich","179","449"
"si","180","448"
"hear","181","446"
"cri","182","443"
"hard","183","443"
"boy","184","441"
"nigga","185","437"
"stand","186","437"
"talk","187","437"
"danc","188","436"
"put","189","433"
"da","190","432"
"stay","191","431"
"place","192","428"
"gotta","193","426"
"new","194","422"
"rock","195","422"
"du","196","419"
"even","197","418"
"anoth","198","416"
"lie","199","414"
"same","200","414"
"wrong","201","412"
"has","202","409"
"tonight","203","406"
"se","204","402"
"fuck","205","400"
"insid","206","399"
"chorus","207","398"
"much","208","396"
"play","209","395"
"move","210","394"
"should","211","389"
"song","212","386"
"break","213","384"
"left","214","382"
"friend","215","379"
"show","216","375"
"someth","217","373"
"word","218","373"
"em","219","372"
"alon","220","370"
"lord","221","367"
"old","222","366"
"use","223","365"
"shit","224","363"
"soul","225","361"
"peopl","226","358"
"free","227","355"
"realli","228","354"
"thought","229","354"
"ai","230","353"
"le","231","352"
"must","232","352"
"pleas","233","351"
"et","234","347"
"hope","235","347"
"lo","236","344"
"made","237","341"
"yes","238","340"
"bad","239","338"
"two","240","338"
"je","241","334"
"quiero","242","329"
"true","243","329"
"without","244","329"
"les","245","325"
"sing","246","325"
"myself","247","321"
"sun","248","319"
"care","249","317"
"other","250","317"
"their","251","317"
"burn","252","315"
"name","253","313"
"und","254","312"
"last","255","311"
"watch","256","307"
"street","257","306"
"rain","258","305"
"own","259","300"
"togeth","260","300"
"mean","261","299"
"ooh","262","299"
"while","263","299"
"ah","264","298"
"help","265","298"
"close","266","297"
"rememb","267","297"
"por","268","296"
"done","269","290"
"everybodi","270","287"
"lost","271","287"
"kill","272","286"
"save","273","284"
"amor","274","283"
"real","275","280"
"big","276","279"
"mine","277","279"
"wish","278","278"
"hot","279","275"
"sky","280","273"
"beat","281","271"
"bring","282","270"
"na","283","268"
"pain","284","268"
"high","285","266"
"music","286","264"
"far","287","263"
"hit","288","263"
"roll","289","262"
"work","290","255"
"might","291","254"
"door","292","252"
"listen","293","251"
"con","294","249"
"enough","295","249"
"parti","296","249"
"forev","297","248"
"ask","298","247"
"year","299","247"
"fire","300","246"
"side","301","246"
"yall","302","245"
"first","303","244"
"pas","304","244"
"hell","305","242"
"road","306","242"
"seem","307","242"
"shine","308","241"
"touch","309","240"
"dead","310","239"
"someon","311","239"
"fli","312","237"
"round","313","237"
"mani","314","236"
"sound","315","234"
"o","316","233"
"blue","317","232"
"fight","318","231"
"set","319","231"
"son","320","231"
"came","321","230"
"kiss","322","230"
"des","323","229"
"ride","324","229"
"smile","325","229"
"sin","326","228"
"doe","327","227"
"tear","328","227"
"becaus","329","226"
"forget","330","225"
"money","331","225"
"those","332","225"
"black","333","224"
"sweet","334","224"
"una","335","224"
"took","336","223"
"dark","337","222"
"beauti","338","221"
"blood","339","221"
"found","340","221"
"town","341","220"
"crazi","342","219"
"e","343","219"
"lose","344","219"
"mayb","345","219"
"onc","346","219"
"sure","347","218"
"told","348","217"
"hous","349","215"
"whoa","350","214"
"today","351","213"
"cold","352","209"
"reason","353","209"
"morn","354","208"
"nobodi","355","207"
"though","356","207"
"voic","357","207"
"hide","358","206"
"wonder","359","204"
"alright","360","203"
"readi","361","203"
"star","362","203"
"till","363","203"
"follow","364","202"
"s","365","202"
"woman","366","202"
"may","367","201"
"goe","368","200"
"behind","369","199"
"best","370","199"
"happi","371","199"
"arm","372","198"
"breath","373","198"
"death","374","198"
"hate","375","198"
"open","376","198"
"seen","377","198"
"top","378","197"
"uh","379","197"
"kid","380","195"
"para","381","195"
"line","382","194"
"sleep","383","193"
"los","384","192"
"until","385","192"
"dan","386","191"
"pour","387","191"
"qui","388","191"
"under","389","191"
"anyth","390","190"
"understand","391","190"
"saw","392","188"
"kind","393","187"
"miss","394","187"
"deep","395","186"
"whole","396","186"
"game","397","185"
"wit","398","184"
"after","399","183"
"easi","400","183"
"ma","401","182"
"bitch","402","181"
"sit","403","181"
"ani","404","179"
"lay","405","178"
"part","406","178"
"hurt","407","177"
"learn","408","177"
"matter","409","177"
"bodi","410","176"
"each","411","176"
"fear","412","176"
"kick","413","176"
"est","414","174"
"knew","415","174"
"truth","416","172"
"al","417","169"
"lead","418","169"
"niggaz","419","169"
"ha","420","167"
"late","421","167"
"heard","422","166"
"plus","423","165"
"sometim","424","165"
"upon","425","165"
"à","426","164"
"earth","427","164"
"lone","428","164"
"went","429","164"
"bout","430","162"
"car","431","162"
"control","432","162"
"heaven","433","162"
"fool","434","161"
"els","435","160"
"ground","436","160"
"il","437","160"
"ti","438","160"
"pass","439","159"
"strong","440","159"
"wall","441","159"
"ass","442","158"
"broken","443","158"
"dem","444","158"
"der","445","158"
"guess","446","158"
"goin","447","157"
"yourself","448","157"
"along","449","156"
"king","450","155"
"todo","451","155"
"las","452","154"
"reach","453","154"
"sinc","454","154"
"young","455","154"
"anymor","456","153"
"blow","457","153"
"jesus","458","153"
"promis","459","153"
"tomorrow","460","153"
"como","461","152"
"das","462","152"
"drop","463","152"
"grow","464","152"
"wild","465","152"
"cest","466","150"
"fill","467","150"
"lot","468","150"
"chanc","469","149"
"mas","470","148"
"abov","471","146"
"step","472","146"
"tout","473","146"
"war","474","146"
"wind","475","146"
"comin","476","145"
"cool","477","145"
"next","478","145"
"angel","479","144"
"goodby","480","144"
"between","481","143"
"fade","482","143"
"wake","483","143"
"white","484","143"
"t","485","142"
"worri","486","142"
"más","487","141"
"water","488","141"
"ce","489","140"
"lover","490","140"
"red","491","140"
"clear","492","139"
"blind","493","138"
"mai","494","138"
"solo","495","138"
"cuz","496","137"
"apart","497","136"
"m","498","136"
"men","499","136"
"somebodi","500","136"
"bed","501","135"
"fine","502","135"
"gave","503","135"
"ist","504","135"
"ladi","505","135"
"laugh","506","135"
"pick","507","135"
"rest","508","135"
"soon","509","135"
"brother","510","134"
"floor","511","134"
"g","512","134"
"sea","513","134"
"carri","514","133"
"gettin","515","133"
"nicht","516","133"
"air","517","132"
"bleed","518","132"
"cut","519","132"
"gun","520","132"
"plan","521","132"
"push","522","132"
"answer","523","131"
"fast","524","131"
"moon","525","131"
"ne","526","131"
"til","527","131"
"citi","528","130"
"drink","529","130"
"sign","530","130"
"feet","531","129"
"caught","532","127"
"low","533","127"
"pay","534","127"
"pull","535","126"
"rap","536","126"
"hang","537","125"
"happen","538","125"
"comm","539","124"
"land","540","124"
"nah","541","124"
"veri","542","123"
"everyon","543","122"
"mama","544","122"
"meet","545","122"
"pretti","546","122"
"afraid","547","121"
"crack","548","121"
"ell","549","121"
"cross","550","120"
"tanto","551","120"
"speak","552","119"
"ay","553","118"
"stori","554","118"
"daddi","555","117"
"mich","556","117"
"past","557","117"
"rais","558","117"
"aliv","559","116"
"becom","560","116"
"faith","561","116"
"fun","562","116"
"futur","563","116"
"river","564","116"
"room","565","116"
"di","566","115"
"empti","567","115"
"full","568","115"
"rise","569","115"
"saturday","570","115"
"throw","571","115"
"honey","572","114"
"mad","573","114"
"such","574","114"
"born","575","113"
"both","576","113"
"felt","577","113"
"lip","578","113"
"tryin","579","113"
"moment","580","112"
"ohh","581","112"
"point","582","112"
"rhyme","583","112"
"send","584","112"
"tus","585","112"
"hay","586","111"
"bit","587","110"
"cannot","588","110"
"three","589","110"
"vida","590","110"
"differ","591","109"
"sick","592","109"
"trust","593","109"
"begin","594","108"
"block","595","108"
"nunca","596","107"
"peac","597","107"
"scream","598","107"
"slow","599","107"
"yea","600","107"
"auf","601","106"
"damn","602","106"
"final","603","106"
"del","604","105"
"dog","605","105"
"everyday","606","105"
"wast","607","105"
"against","608","104"
"nothin","609","104"
"perfect","610","104"
"power","611","104"
"ser","612","104"
"shot","613","104"
"tast","614","104"
"u","615","104"
"check","616","103"
"hair","617","103"
"memori","618","103"
"stone","619","103"
"devil","620","102"
"knee","621","102"
"livin","622","102"
"longer","623","102"
"va","624","102"
"child","625","101"
"countri","626","101"
"drive","627","101"
"ima","628","101"
"met","629","101"
"mon","630","101"
"queen","631","101"
"shake","632","101"
"straight","633","101"
"great","634","100"
"mess","635","100"
"darl","636","99"
"dear","637","99"
"mother","638","99"
"noch","639","99"
"shall","640","99"
"yet","641","99"
"heat","642","98"
"smoke","643","98"
"broke","644","96"
"cuando","645","96"
"lock","646","96"
"lyric","647","96"
"pop","648","96"
"skin","649","96"
"wear","650","96"
"wing","651","96"
"buy","652","95"
"cop","653","95"
"cover","654","95"
"doin","655","95"
"finger","656","95"
"knock","657","95"
"pero","658","95"
"runnin","659","95"
"summer","660","95"
"win","661","95"
"act","662","94"
"bien","663","94"
"bye","664","94"
"piec","665","94"
"sorri","666","94"
"vez","667","94"
"blame","668","93"
"catch","669","93"
"den","670","93"
"denk","671","93"
"front","672","93"
"fuckin","673","93"
"gon","674","93"
"im","675","93"
"sens","676","93"
"style","677","93"
"which","678","93"
"eat","679","92"
"most","680","92"
"mouth","681","92"
"nada","682","92"
"san","683","92"
"scare","684","92"
"tight","685","92"
"tire","686","92"
"within","687","92"
"escap","688","91"
"hole","689","91"
"hood","690","91"
"question","691","91"
"rather","692","91"
"shadow","693","91"
"share","694","91"
"thank","695","91"
"bell","696","90"
"famili","697","90"
"guy","698","90"
"une","699","90"
"bar","700","89"
"bless","701","89"
"moi","702","89"
"ring","703","89"
"rule","704","89"
"spend","705","89"
"talkin","706","89"
"tree","707","89"
"troubl","708","89"
"wenn","709","89"
"chain","710","88"
"flame","711","88"
"sad","712","88"
"weak","713","88"
"au","714","87"
"forgiv","715","87"
"repeat","716","87"
"shoe","717","87"
"slip","718","87"
"across","719","86"
"bone","720","86"
"flow","721","86"
"jai","722","86"
"meant","723","86"
"radio","724","86"
"sail","725","86"
"someday","726","86"
"ten","727","86"
"train","728","86"
"vers","729","86"
"esta","730","85"
"hour","731","85"
"welcom","732","85"
"brown","733","84"
"crowd","734","84"
"ein","735","84"
"ella","736","84"
"near","737","84"
"nos","738","84"
"porqu","739","84"
"pray","740","84"
"sur","741","84"
"corazón","742","83"
"feelin","743","83"
"glori","744","83"
"pictur","745","83"
"tiempo","746","83"
"build","747","82"
"cmon","748","82"
"eu","749","82"
"everywher","750","82"
"motherfuck","751","82"
"phone","752","82"
"wie","753","82"
"cos","754","81"
"dress","755","81"
"fair","756","81"
"fate","757","81"
"soy","758","81"
"wave","759","81"
"bang","760","80"
"brain","761","80"
"joy","762","80"
"jump","763","80"
"read","764","80"
"tengo","765","80"
"vie","766","80"
"christma","767","79"
"dich","768","79"
"father","769","79"
"magic","770","79"
"babe","771","78"
"evil","772","78"
"gangsta","773","78"
"holi","774","78"
"key","775","78"
"pretend","776","78"
"second","777","78"
"silenc","778","78"
"somethin","779","78"
"aint","780","77"
"ball","781","77"
"hoy","782","77"
"mile","783","77"
"mir","784","77"
"nice","785","77"
"okay","786","77"
"school","787","77"
"taken","788","77"
"known","789","76"
"machin","790","76"
"minut","791","76"
"shut","792","76"
"sister","793","76"
"sunday","794","76"
"warm","795","76"
"worth","796","76"
"mis","797","75"
"outsid","798","75"
"return","799","75"
"spit","800","75"
"walkin","801","75"
"bottom","802","74"
"count","803","74"
"hace","804","74"
"twist","805","74"
"bright","806","73"
"clean","807","73"
"destroy","808","73"
"estoy","809","73"
"mit","810","73"
"pride","811","73"
"quit","812","73"
"search","813","73"
"somehow","814","73"
"ta","815","73"
"wide","816","73"
"belong","817","72"
"cat","818","72"
"l","819","72"
"n","820","72"
"problem","821","72"
"somewher","822","72"
"surviv","823","72"
"ahora","824","71"
"alreadi","825","71"
"dig","826","71"
"john","827","71"
"lovin","828","71"
"natur","829","71"
"number","830","71"
"petit","831","71"
"re","832","71"
"rose","833","71"
"sexi","834","71"
"bin","835","70"
"demon","836","70"
"dos","837","70"
"fake","838","70"
"green","839","70"
"ihr","840","70"
"mein","841","70"
"mic","842","70"
"mr","843","70"
"news","844","70"
"pure","845","70"
"safe","846","70"
"sex","847","70"
"space","848","70"
"track","849","70"
"treat","850","70"
"choic","851","69"
"dann","852","69"
"fantasi","853","69"
"grave","854","69"
"quon","855","69"
"shoot","856","69"
"soft","857","69"
"thinkin","858","69"
"whisper","859","69"
"zu","860","69"
"bist","861","68"
"ça","862","68"
"fell","863","68"
"hasta","864","68"
"murder","865","68"
"record","866","68"
"su","867","68"
"wash","868","68"
"desir","869","67"
"drown","870","67"
"five","871","67"
"half","872","67"
"jack","873","67"
"mal","874","67"
"passion","875","67"
"revolut","876","67"
"sent","877","67"
"sie","878","67"
"sight","879","67"
"simpl","880","67"
"strang","881","67"
"strength","882","67"
"suppos","883","67"
"voy","884","67"
"choos","885","66"
"cloud","886","66"
"dein","887","66"
"fit","888","66"
"four","889","66"
"funni","890","66"
"insan","891","66"
"quier","892","66"
"spirit","893","66"
"um","894","66"
"vos","895","66"
"woah","896","66"
"bend","897","65"
"bite","898","65"
"bust","899","65"
"children","900","65"
"feed","901","65"
"gal","902","65"
"ghost","903","65"
"ni","904","65"
"nous","905","65"
"ojo","906","65"
"secret","907","65"
"stranger","908","65"
"swear","909","65"
"window","910","65"
"anyon","911","64"
"grown","912","64"
"heavi","913","64"
"leader","914","64"
"loud","915","64"
"write","916","64"
"action","917","63"
"beyond","918","63"
"deal","919","63"
"rip","920","63"
"sorrow","921","63"
"anyway","922","62"
"bird","923","62"
"exist","924","62"
"grab","925","62"
"grand","926","62"
"haunt","927","62"
"makin","928","62"
"mes","929","62"
"prais","930","62"
"rhythm","931","62"
"siento","932","62"
"alma","933","61"
"beneath","934","61"
"danger","935","61"
"deni","936","61"
"doubt","937","61"
"mountain","938","61"
"polic","939","61"
"seed","940","61"
"spot","941","61"
"tongu","942","61"
"american","943","60"
"cada","944","60"
"dond","945","60"
"gold","946","60"
"innoc","947","60"
"kinda","948","60"
"person","949","60"
"seven","950","60"
"silent","951","60"
"storm","952","60"
"tú","953","60"
"tumbl","954","60"
"chase","955","59"
"dont","956","59"
"outta","957","59"
"paper","958","59"
"race","959","59"
"remain","960","59"
"shout","961","59"
"thousand","962","59"
"crawl","963","58"
"d","964","58"
"dime","965","58"
"enemi","966","58"
"forc","967","58"
"higher","968","58"
"jame","969","58"
"main","970","58"
"nowher","971","58"
"ocean","972","58"
"small","973","58"
"special","974","58"
"stare","975","58"
"toi","976","58"
"ahh","977","57"
"ear","978","57"
"explain","979","57"
"grace","980","57"
"path","981","57"
"quick","982","57"
"rollin","983","57"
"siempr","984","57"
"steal","985","57"
"suicid","986","57"
"ven","987","57"
"vision","988","57"
"wheel","989","57"
"wife","990","57"
"beg","991","56"
"cloth","992","56"
"er","993","56"
"flesh","994","56"
"fresh","995","56"
"immer","996","56"
"instead","997","56"
"million","998","56"
"refrain","999","56"
"sand","1000","56"
"singl","1001","56"
"whatev","1002","56"
"dawn","1003","55"
"dj","1004","55"
"doctor","1005","55"
"don","1006","55"
"era","1007","55"
"fact","1008","55"
"hat","1009","55"
"highway","1010","55"
"lift","1011","55"
"mehr","1012","55"
"spent","1013","55"
"suffer","1014","55"
"confus","1015","54"
"daughter","1016","54"
"few","1017","54"
"ghetto","1018","54"
"hoe","1019","54"
"human","1020","54"
"kept","1021","54"
"messag","1022","54"
"ou","1023","54"
"poor","1024","54"
"suck","1025","54"
"ago","1026","53"
"bridg","1027","53"
"crew","1028","53"
"día","1029","53"
"dir","1030","53"
"dollar","1031","53"
"entr","1032","53"
"guid","1033","53"
"jingl","1034","53"
"luck","1035","53"
"lui","1036","53"
"nine","1037","53"
"pack","1038","53"
"sink","1039","53"
"dio","1040","52"
"drum","1041","52"
"jag","1042","52"
"job","1043","52"
"lookin","1044","52"
"mundo","1045","52"
"rainbow","1046","52"
"snow","1047","52"
"tie","1048","52"
"age","1049","51"
"ant","1050","51"
"besid","1051","51"
"figur","1052","51"
"imagin","1053","51"
"less","1054","51"
"master","1055","51"
"ordinari","1056","51"
"pound","1057","51"
"smell","1058","51"
"trade","1059","51"
"wound","1060","51"
"battl","1061","50"
"brought","1062","50"
"built","1063","50"
"cryin","1064","50"
"dice","1065","50"
"dirti","1066","50"
"está","1067","50"
"hook","1068","50"
"ja","1069","50"
"johnni","1070","50"
"mucho","1071","50"
"price","1072","50"
"quil","1073","50"
"seek","1074","50"
"sell","1075","50"
"slave","1076","50"
"weight","1077","50"
"bound","1078","49"
"buri","1079","49"
"busi","1080","49"
"contigo","1081","49"
"dancin","1082","49"
"dust","1083","49"
"embrac","1084","49"
"heal","1085","49"
"hurri","1086","49"
"mistak","1087","49"
"ran","1088","49"
"sayin","1089","49"
"shame","1090","49"
"wir","1091","49"
"aquí","1092","48"
"corazon","1093","48"
"doch","1094","48"
"encor","1095","48"
"faut","1096","48"
"jah","1097","48"
"jam","1098","48"
"même","1099","48"
"merri","1100","48"
"otra","1101","48"
"prayer","1102","48"
"refus","1103","48"
"spread","1104","48"
"tien","1105","48"
"ton","1106","48"
"wrap","1107","48"
"ahead","1108","47"
"book","1109","47"
"bore","1110","47"
"circl","1111","47"
"diamond","1112","47"
"dick","1113","47"
"dope","1114","47"
"dri","1115","47"
"é","1116","47"
"earli","1117","47"
"emot","1118","47"
"funk","1119","47"
"given","1120","47"
"hacer","1121","47"
"hip","1122","47"
"huh","1123","47"
"kann","1124","47"
"mari","1125","47"
"pie","1126","47"
"proud","1127","47"
"sa","1128","47"
"steadi","1129","47"
"tan","1130","47"
"vas","1131","47"
"ye","1132","47"
"yesterday","1133","47"
"york","1134","47"
"ces","1135","46"
"club","1136","46"
"drunk","1137","46"
"fault","1138","46"
"fi","1139","46"
"glass","1140","46"
"hungri","1141","46"
"jenni","1142","46"
"jour","1143","46"
"later","1144","46"
"nur","1145","46"
"speed","1146","46"
"takin","1147","46"
"type","1148","46"
"wine","1149","46"
"arriv","1150","45"
"awak","1151","45"
"band","1152","45"
"bill","1153","45"
"breez","1154","45"
"complet","1155","45"
"destruct","1156","45"
"dun","1157","45"
"freedom","1158","45"
"glad","1159","45"
"held","1160","45"
"ignor","1161","45"
"lil","1162","45"
"monday","1163","45"
"não","1164","45"
"nation","1165","45"
"neon","1166","45"
"paint","1167","45"
"rien","1168","45"
"stood","1169","45"
"stuck","1170","45"
"ver","1171","45"
"anywher","1172","44"
"bag","1173","44"
"brand","1174","44"
"fat","1175","44"
"gimm","1176","44"
"hello","1177","44"
"law","1178","44"
"pa","1179","44"
"par","1180","44"
"shorti","1181","44"
"state","1182","44"
"tune","1183","44"
"bear","1184","43"
"beso","1185","43"
"cosa","1186","43"
"draw","1187","43"
"fix","1188","43"
"i’m","1189","43"
"least","1190","43"
"muy","1191","43"
"realiz","1192","43"
"rich","1193","43"
"shoulder","1194","43"
"surround","1195","43"
"trick","1196","43"
"trip","1197","43"
"weather","1198","43"
"aunqu","1199","42"
"aus","1200","42"
"bare","1201","42"
"cielo","1202","42"
"color","1203","42"
"dia","1204","42"
"drag","1205","42"
"eh","1206","42"
"estar","1207","42"
"etern","1208","42"
"fame","1209","42"
"flip","1210","42"
"flower","1211","42"
"für","1212","42"
"generat","1213","42"
"guitar","1214","42"
"letter","1215","42"
"movin","1216","42"
"paus","1217","42"
"respect","1218","42"
"sich","1219","42"
"six","1220","42"
"spin","1221","42"
"tip","1222","42"
"waitin","1223","42"
"ash","1224","41"
"bass","1225","41"
"chair","1226","41"
"desd","1227","41"
"dit","1228","41"
"don’t","1229","41"
"fait","1230","41"
"hundr","1231","41"
"ice","1232","41"
"ill","1233","41"
"merci","1234","41"
"movi","1235","41"
"ok","1236","41"
"precious","1237","41"
"prove","1238","41"
"rapper","1239","41"
"savior","1240","41"
"stick","1241","41"
"strike","1242","41"
"women","1243","41"
"amo","1244","40"
"bow","1245","40"
"cant","1246","40"
"case","1247","40"
"cash","1248","40"
"che","1249","40"
"climb","1250","40"
"corner","1251","40"
"darlin","1252","40"
"denn","1253","40"
"float","1254","40"
"freez","1255","40"
"friday","1256","40"
"junto","1257","40"
"mano","1258","40"
"mí","1259","40"
"michael","1260","40"
"midnight","1261","40"
"nach","1262","40"
"none","1263","40"
"puedo","1264","40"
"quand","1265","40"
"rage","1266","40"
"sabe","1267","40"
"saber","1268","40"
"score","1269","40"
"taught","1270","40"
"test","1271","40"
"tough","1272","40"
"tv","1273","40"
"week","1274","40"
"wire","1275","40"
"yellow","1276","40"
"bounc","1277","39"
"bullet","1278","39"
"chick","1279","39"
"comfort","1280","39"
"decid","1281","39"
"endless","1282","39"
"everytim","1283","39"
"golden","1284","39"
"jamai","1285","39"
"lean","1286","39"
"nadi","1287","39"
"oi","1288","39"
"playin","1289","39"
"pleasur","1290","39"
"sé","1291","39"
"sueño","1292","39"
"von","1293","39"
"x2","1294","39"
"algo","1295","38"
"asleep","1296","38"
"aux","1297","38"
"bottl","1298","38"
"crime","1299","38"
"doubl","1300","38"
"eas","1301","38"
"homi","1302","38"
"hora","1303","38"
"knowledg","1304","38"
"loos","1305","38"
"paradis","1306","38"
"pocket","1307","38"
"probabl","1308","38"
"rough","1309","38"
"scene","1310","38"
"silver","1311","38"
"som","1312","38"
"swing","1313","38"
"travel","1314","38"
"ves","1315","38"
"victim","1316","38"
"anybodi","1317","37"
"bet","1318","37"
"callin","1319","37"
"chill","1320","37"
"confess","1321","37"
"dare","1322","37"
"date","1323","37"
"diseas","1324","37"
"freak","1325","37"
"lazi","1326","37"
"rat","1327","37"
"rebel","1328","37"
"slide","1329","37"
"só","1330","37"
"superman","1331","37"
"ve","1332","37"
"almost","1333","36"
"amaz","1334","36"
"blast","1335","36"
"box","1336","36"
"card","1337","36"
"distanc","1338","36"
"fail","1339","36"
"field","1340","36"
"form","1341","36"
"givin","1342","36"
"glow","1343","36"
"hill","1344","36"
"instrument","1345","36"
"mc","1346","36"
"middl","1347","36"
"nake","1348","36"
"non","1349","36"
"remind","1350","36"
"rush","1351","36"
"shi","1352","36"
"slowli","1353","36"
"sui","1354","36"
"tes","1355","36"
"wow","1356","36"
"yeux","1357","36"
"admit","1358","35"
"album","1359","35"
"beef","1360","35"
"bother","1361","35"
"cantar","1362","35"
"cett","1363","35"
"chose","1364","35"
"esa","1365","35"
"feliz","1366","35"
"finish","1367","35"
"gate","1368","35"
"kan","1369","35"
"mark","1370","35"
"mejor","1371","35"
"paid","1372","35"
"park","1373","35"
"peu","1374","35"
"quiet","1375","35"
"regret","1376","35"
"settl","1377","35"
"tous","1378","35"
"woke","1379","35"
"ab","1380","34"
"alla","1381","34"
"amar","1382","34"
"armi","1383","34"
"bomb","1384","34"
"crown","1385","34"
"cruel","1386","34"
"dame","1387","34"
"disappear","1388","34"
"ere","1389","34"
"eso","1390","34"
"gift","1391","34"
"harder","1392","34"
"hero","1393","34"
"hier","1394","34"
"hors","1395","34"
"meu","1396","34"
"nois","1397","34"
"nuh","1398","34"
"numb","1399","34"
"ooo","1400","34"
"page","1401","34"
"parad","1402","34"
"self","1403","34"
"ship","1404","34"
"stain","1405","34"
"stress","1406","34"
"swim","1407","34"
"tabl","1408","34"
"temp","1409","34"
"underground","1410","34"
"vent","1411","34"
"verdad","1412","34"
"vivir","1413","34"
"warn","1414","34"
"weep","1415","34"
"west","1416","34"
"america","1417","33"
"art","1418","33"
"basta","1419","33"
"blown","1420","33"
"breakin","1421","33"
"certain","1422","33"
"class","1423","33"
"crystal","1424","33"
"curs","1425","33"
"deserv","1426","33"
"dragon","1427","33"
"drug","1428","33"
"fog","1429","33"
"har","1430","33"
"heartach","1431","33"
"j","1432","33"
"laid","1433","33"
"melodi","1434","33"
"mmm","1435","33"
"needl","1436","33"
"palabra","1437","33"
"pant","1438","33"
"rockin","1439","33"
"situat","1440","33"
"sold","1441","33"
"stupid","1442","33"
"suit","1443","33"
"tellin","1444","33"
"thee","1445","33"
"thi","1446","33"
"tide","1447","33"
"twice","1448","33"
"vai","1449","33"
"vamo","1450","33"
"wick","1451","33"
"wors","1452","33"
"birth","1453","32"
"chest","1454","32"
"deux","1455","32"
"drift","1456","32"
"foot","1457","32"
"honest","1458","32"
"keepin","1459","32"
"kein","1460","32"
"knife","1461","32"
"load","1462","32"
"meinem","1463","32"
"miseri","1464","32"
"mom","1465","32"
"motherfuckin","1466","32"
"mujer","1467","32"
"neck","1468","32"
"nuestro","1469","32"
"otro","1470","32"
"planet","1471","32"
"prison","1472","32"
"realiti","1473","32"
"salli","1474","32"
"sensat","1475","32"
"sont","1476","32"
"stole","1477","32"
"store","1478","32"
"string","1479","32"
"stronger","1480","32"
"view","1481","32"
"wont","1482","32"
"woo","1483","32"
"accept","1484","31"
"although","1485","31"
"avec","1486","31"
"bo","1487","31"
"bob","1488","31"
"brick","1489","31"
"buck","1490","31"
"cuerpo","1491","31"
"ese","1492","31"
"faster","1493","31"
"folk","1494","31"
"hollow","1495","31"
"joe","1496","31"
